Name,Key,Value,Type,Source,Category,Status
"02 VSL Testimonials Sub-Headline Text","02 VSL Testimonials Sub-Headline Text","Different businesses. Similar outcomes.",unknown,"not mapped",📄 Other,Filled
"02 VSL Testimonials Profile Pic 1","02 VSL Testimonials Profile Pic 1","",unknown,"not mapped",📄 Other,Empty
"02 VSL Testimonials Profile Pic 2","02 VSL Testimonials Profile Pic 2","",unknown,"not mapped",📄 Other,Empty
"02 VSL Testimonials Profile Pic 3","02 VSL Testimonials Profile Pic 3","",unknown,"not mapped",📄 Other,Empty
"02 VSL Testimonials Profile Pic 4","02 VSL Testimonials Profile Pic 4","",unknown,"not mapped",📄 Other,Empty
"02 VSL Testimonial Review 1 Headline","02 VSL Testimonial Review 1 Headline","This has been a game-changer",unknown,"not mapped",📄 Other,Filled
"02 VSL Testimonial Review 2 Headline","02 VSL Testimonial Review 2 Headline","Incredible results",unknown,"not mapped",📄 Other,Filled
"02 VSL Testimonial Review 3 Headline","02 VSL Testimonial Review 3 Headline","Highly recommend",unknown,"not mapped",📄 Other,Filled
"02 VSL Testimonial Review 4 Headline","02 VSL Testimonial Review 4 Headline","Best investment ever",unknown,"not mapped",📄 Other,Filled
"02 VSL Testimonial Review 1 Paragraph with Name","02 VSL Testimonial Review 1 Paragraph with Name","""Great results with this program."" - Client Name",unknown,"not mapped",📄 Other,Filled
"02 VSL Testimonial Review 2 Paragraph with Name","02 VSL Testimonial Review 2 Paragraph with Name","""Amazing transformation."" - Client Name",unknown,"not mapped",📄 Other,Filled
"02 VSL Testimonial Review 3 Paragraph with Name","02 VSL Testimonial Review 3 Paragraph with Name","""Exceeded my expectations."" - Client Name",unknown,"not mapped",📄 Other,Filled
"02 VSL Testimonial Review 4 Paragraph with Name","02 VSL Testimonial Review 4 Paragraph with Name","""Life-changing experience."" - Client Name",unknown,"not mapped",📄 Other,Filled
"02 VSL FAQ Headline Text","02 VSL FAQ Headline Text","Frequently Asked Questions",unknown,"not mapped",📄 Other,Filled
"02 VSL FAQ Question 1 Text","02 VSL FAQ Question 1 Text","How much time will this take each week?",unknown,"not mapped",📄 Other,Filled
"02 VSL FAQ Question 2 Text","02 VSL FAQ Question 2 Text","How do I know if this is a good fit for me?",unknown,"not mapped",📄 Other,Filled
"02 VSL FAQ Question 3 Text","02 VSL FAQ Question 3 Text","What does it cost, and what if it’s not in my budget?",unknown,"not mapped",📄 Other,Filled
"02 VSL FAQ Question 4 Text","02 VSL FAQ Question 4 Text","What if I’m not ready yet or I’m worried I won’t follow through?",unknown,"not mapped",📄 Other,Filled
"02 VSL FAQ Answer 1 Text","02 VSL FAQ Answer 1 Text","It depends on your pace, but most people can make meaningful progress with a few focused hours per week. If your schedule is tight, you can start small and build consistency—there’s no need to do everything at once to see results.",unknown,"not mapped",📄 Other,Filled
"02 VSL FAQ Answer 2 Text","02 VSL FAQ Answer 2 Text","This is a good fit if you want a clear plan, are willing to follow a process, and prefer steady progress over quick fixes. It may not be a fit if you’re looking for instant results or you don’t have any capacity to implement changes right now. If you’re unsure, it’s okay to take your time and decide when it feels aligned.",unknown,"not mapped",📄 Other,Filled
"02 VSL FAQ Answer 3 Text","02 VSL FAQ Answer 3 Text","Pricing depends on the option you choose, and you should only move forward if it feels financially comfortable. If it’s not in your budget right now, that’s completely okay—many people wait until the timing is better. The goal is to make a decision you won’t regret later.",unknown,"not mapped",📄 Other,Filled
"02 VSL FAQ Answer 4 Text","02 VSL FAQ Answer 4 Text","That’s a common concern, and it doesn’t mean you can’t succeed. Readiness often comes from taking one small step and building momentum. If now feels too hectic, it’s okay to pause and come back when you have more bandwidth. If you do start, focus on consistency over perfection—progress counts even when it’s gradual.",unknown,"not mapped",📄 Other,Filled
"02 VSL Bio Headline Text","02 VSL Bio Headline Text","From midnight Slack pings to a business that runs without you",unknown,"not mapped",📄 Other,Filled
"02 VSL Bio Paragraph Text","02 VSL Bio Paragraph Text","After building a “successful” agency that still had him answering Slack at midnight and rewriting deliverables to prevent mistakes, he realized the problem wasn’t hiring—it was that quality and delivery lived in his head. He rebuilt the business around a simple Success System (playbooks, video SOPs, metrics, and checklists) so the team could produce consistent work without him as the bottleneck. Now he helps agency owners and service providers turn chaotic delivery into a self-managing operation that protects quality and gives them their time back.",unknown,"not mapped",📄 Other,Filled
"02 VSL Bio Photo","02 VSL Bio Photo","",unknown,"not mapped",📄 Other,Empty
"02 Footer Company Name","02 Footer Company Name","YourBrand™",unknown,"not mapped",📄 Other,Filled
"02 VSL Call Details Headline text","02 VSL Call Details Headline text","What This Call Is / Is Not",unknown,"not mapped",📄 Other,Filled
"02 VSL Call Details IS Heading","02 VSL Call Details IS Heading","This call IS:",unknown,"not mapped",📄 Other,Filled
"02 VSL Call Details IS NOT Heading","02 VSL Call Details IS NOT Heading","This call is NOT:",unknown,"not mapped",📄 Other,Filled
"02 VSL Call Details IS Bullet 1 Text","02 VSL Call Details IS Bullet 1 Text","A short conversation to understand your situation, goals, and constraints",unknown,"not mapped",📄 Other,Filled
"02 VSL Call Details IS Bullet 2 Text","02 VSL Call Details IS Bullet 2 Text","A clarity check to confirm whether your problem is something we can actually help with",unknown,"not mapped",📄 Other,Filled
"02 VSL Call Details IS Bullet 3 Text","02 VSL Call Details IS Bullet 3 Text","A next-steps discussion—if there’s a fit, we’ll outline options; if not, you’ll leave knowing what to do next",unknown,"not mapped",📄 Other,Filled
"02 VSL Call Details IS NOT Bullet 1 Text","02 VSL Call Details IS NOT Bullet 1 Text","A high-pressure sales call or a pitch you have to sit through",unknown,"not mapped",📄 Other,Filled
"02 VSL Call Details IS NOT Bullet 2 Text","02 VSL Call Details IS NOT Bullet 2 Text","A one-size-fits-all “free coaching” session with generic advice",unknown,"not mapped",📄 Other,Filled
"02 VSL Call Details IS NOT Bullet 3 Text","02 VSL Call Details IS NOT Bullet 3 Text","A commitment—no obligation to buy, sign, or decide on the call",unknown,"not mapped",📄 Other,Filled
"02 VSL video","02 VSL video","",unknown,"not mapped",📄 Other,Empty
"02 VSL video background Colour","02 VSL video background Colour","#0e0e0f",unknown,"not mapped",📄 Other,Filled
"02 VSL CTA Background Colour","02 VSL CTA Background Colour","#0e0e0f",unknown,"not mapped",📄 Other,Filled
"02 VSL FAQ Border Colour","02 VSL FAQ Border Colour","#0891b2",unknown,"not mapped",📄 Other,Filled
"02 VSL Audience Callout Bullets Border Colour","02 VSL Audience Callout Bullets Border Colour","#0891b2",unknown,"not mapped",📄 Other,Filled
"02 VSL Process Bullet Border Colour","02 VSL Process Bullet Border Colour","#0891b2",unknown,"not mapped",📄 Other,Filled
"02 VSL hero Headline text Colour","02 VSL hero Headline text Colour","#0891b2",unknown,"not mapped",📄 Other,Filled
"02 VSL Process Headline Text Colour","02 VSL Process Headline Text Colour","#0891b2",unknown,"not mapped",📄 Other,Filled
"02 VSL Process Sub -Headline Text Colour","02 VSL Process Sub -Headline Text Colour","#0891b2",unknown,"not mapped",📄 Other,Filled
"02 VSL Process Bullet Text Colour","02 VSL Process Bullet Text Colour","#FFFFFF",unknown,"not mapped",📄 Other,Filled
"02 VSL Audience Callout CTA Text Colour","02 VSL Audience Callout CTA Text Colour","#000000",unknown,"not mapped",📄 Other,Filled
"02 VSL Audience Callout Headline Text Colour","02 VSL Audience Callout Headline Text Colour","#0891b2",unknown,"not mapped",📄 Other,Filled
"02 VSL Audience Callout bullets text Colour","02 VSL Audience Callout bullets text Colour","#FFFFFF",unknown,"not mapped",📄 Other,Filled
"02 VSL CTA Text Colour","02 VSL CTA Text Colour","#000000",unknown,"not mapped",📄 Other,Filled
"02 VSL Testimonial Card Background Colour","02 VSL Testimonial Card Background Colour","#1a1a1d",unknown,"not mapped",📄 Other,Filled
"02 VSL Testimonials Headline Text Colour","02 VSL Testimonials Headline Text Colour","#0891b2",unknown,"not mapped",📄 Other,Filled
"02 VSL Testimonials Sub-Headline Text Colour","02 VSL Testimonials Sub-Headline Text Colour","#0891b2",unknown,"not mapped",📄 Other,Filled
"02 VSL Testimonial Reviews Paragraph with Name Colour","02 VSL Testimonial Reviews Paragraph with Name Colour","#a1a1aa",unknown,"not mapped",📄 Other,Filled
"02 VSL Testimonial Reviews Headline Colour","02 VSL Testimonial Reviews Headline Colour","#0891b2",unknown,"not mapped",📄 Other,Filled
"02 VSL Call Details Headline text Colour","02 VSL Call Details Headline text Colour","#0891b2",unknown,"not mapped",📄 Other,Filled
"02 VSL Call Details  Heading Colour","02 VSL Call Details  Heading Colour","#000000",unknown,"not mapped",📄 Other,Filled
"02 VSL Call Details bullet Text Colour","02 VSL Call Details bullet Text Colour","#FFFFFF",unknown,"not mapped",📄 Other,Filled
"02 VSL Call Details Card Background Colour","02 VSL Call Details Card Background Colour","#1a1a1d",unknown,"not mapped",📄 Other,Filled
"02 VSL Bio Headline Text Colour","02 VSL Bio Headline Text Colour","#0891b2",unknown,"not mapped",📄 Other,Filled
"02 VSL Bio paragraph text Colour","02 VSL Bio paragraph text Colour","#a1a1aa",unknown,"not mapped",📄 Other,Filled
"02 VSL Bio Text Card Background","02 VSL Bio Text Card Background","#1a1a1d",unknown,"not mapped",📄 Other,Filled
"02 VSL FAQ Answer Text Colour","02 VSL FAQ Answer Text Colour","#FFFFFF",unknown,"not mapped",📄 Other,Filled
"02 VSL FAQ Question Text Colour","02 VSL FAQ Question Text Colour","#FFFFFF",unknown,"not mapped",📄 Other,Filled
"02 VSL FAQ Headline Text Colour","02 VSL FAQ Headline Text Colour","#0891b2",unknown,"not mapped",📄 Other,Filled
"02 Optin Logo Image","02 Optin Logo Image","",unknown,"not mapped",📄 Other,Empty
"02 Optin Mockup Image","02 Optin Mockup Image","",unknown,"not mapped",📄 Other,Empty
"02 Optin Sub-headline Text","02 Optin Sub-headline Text","For coaches, consultants, and service businesses",unknown,"not mapped",📄 Other,Filled
"02 Optin Headline Text","02 Optin Headline Text","Get Your Free Training",unknown,"not mapped",📄 Other,Filled
"02 Optin CTA Text","02 Optin CTA Text","Get Instant Access",unknown,"not mapped",📄 Other,Filled
"02 Optin CTA Background Colour","02 Optin CTA Background Colour","#0e0e0f",unknown,"not mapped",📄 Other,Filled
"02 Optin Sub-headline Text Colour","02 Optin Sub-headline Text Colour","#FFFFFF",unknown,"not mapped",📄 Other,Filled
"02 Optin Headline Text Colour","02 Optin Headline Text Colour","#FFFFFF",unknown,"not mapped",📄 Other,Filled
"02 Header Background Color","02 Header Background Color","#0e0e0f",unknown,"not mapped",📄 Other,Filled
"02 Booking Pill Text","02 Booking Pill Text","45-minute Scale Strategy Session • No pressure, no weird tactics • Leave with a clear bottleneck diagnosis + 90-day Liberation Plan (or I’ll comp the session)",unknown,"not mapped",📄 Other,Filled
"02 Booking Pill Background Colour","02 Booking Pill Background Colour","#0e0e0f",unknown,"not mapped",📄 Other,Filled
"02 Booking Pill Text Colour","02 Booking Pill Text Colour","#FFFFFF",unknown,"not mapped",📄 Other,Filled
"03 Booking Calender Embedded Code","03 Booking Calender Embedded Code","",unknown,"not mapped",📄 Other,Empty
"02 Thankyou Page Headline Text","02 Thankyou Page Headline Text","You’re booked — next step: complete the pre-call questions so I can build your Liberation Plan",unknown,"not mapped",📄 Other,Filled
"02 Thankyou Page Headline Text Colour","02 Thankyou Page Headline Text Colour","#0891b2",unknown,"not mapped",📄 Other,Filled
"02 Thankyou Page Sub-Headline Text","02 Thankyou Page Sub-Headline Text","Check your email for the confirmation + calendar invite, then fill out the short questionnaire right now. Your answers let me map your delivery bottlenecks, the next hires in order, and the exact systems to install in the next 90 days.",unknown,"not mapped",📄 Other,Filled
"02 Thankyou Page Video","02 Thankyou Page Video","",unknown,"not mapped",📄 Other,Empty
"02 Thankyou Page Sub-Headline Text Colour","02 Thankyou Page Sub-Headline Text Colour","#0891b2",unknown,"not mapped",📄 Other,Filled
"02 Optin Page Headline Text","02 Optin Page Headline Text","test",unknown,"not mapped",📄 Other,Filled
"Optin_Email_Body 1","Optin_Email_Body 1","<div style=""font-family: Arial, sans-serif; font-size: 16px; line-height: 1.6; color: #333333;""><p style=""margin: 0 0 15px 0;"">Hey {{contact.first_name}},</p>
<p style=""margin: 0 0 15px 0;"">Glad you’re here.</p>
<p style=""margin: 0 0 15px 0;"">Here’s your free gift: The Bottleneck Breakout Sprint.</p>
<p style=""margin: 0 0 15px 0;"">This sprint is built for the “second chapter” founder—the one who already proved they can sell… but the business still depends on them to think, decide, QA, and put out fires.</p>
<p style=""margin: 0 0 15px 0;"">If that’s you, you’re not broken. You’re just the system right now.</p>
<p style=""margin: 0 0 15px 0;"">The Bottleneck Breakout Sprint walks you through a simple 60–90 minute reset you can repeat anytime you feel the business tightening around your calendar.</p>
<p style=""margin: 0 0 15px 0;"">Here’s how to use it (quick + practical):</p>
<ol style=""margin: 10px 0; padding-left: 20px;"">
<li style=""margin: 5px 0;"">Pick ONE constraint (not ten).</li>
</ol>
<ul style=""margin: 10px 0; padding-left: 20px;"">
<li style=""margin: 5px 0;"">Delivery bottleneck? Sales bottleneck? Team bottleneck? Your own attention?</li>
</ul>
<ol style=""margin: 10px 0; padding-left: 20px;"">
<li style=""margin: 5px 0;"">Run the “3-Layer Bottleneck Scan”</li>
</ol>
<ul style=""margin: 10px 0; padding-left: 20px;"">
<li style=""margin: 5px 0;"">Demand: What are clients asking for that creates chaos?</li>
<li style=""margin: 5px 0;"">Delivery: Where does work stall or boomerang back to you?</li>
<li style=""margin: 5px 0;"">Decisions: What requires your brain because nobody else has the rules?</li>
</ul>
<ol style=""margin: 10px 0; padding-left: 20px;"">
<li style=""margin: 5px 0;"">Choose ONE fix you can ship in 7 days.</li>
</ol>
<ul style=""margin: 10px 0; padding-left: 20px;"">
<li style=""margin: 5px 0;"">A checklist, a template, a handoff rule, a “definition of done,” a client boundary, or a role shift.</li>
</ul>
<p style=""margin: 0 0 15px 0;"">Over the next two weeks, I’ll send you a short daily email with one tip at a time—designed to help you:</p>
<ul style=""margin: 10px 0; padding-left: 20px;"">
<li style=""margin: 5px 0;"">Reduce the number of decisions that require you</li>
<li style=""margin: 5px 0;"">Protect deep work (and your evenings)</li>
<li style=""margin: 5px 0;"">Make delivery feel consistent without you hovering</li>
</ul>
<p style=""margin: 0 0 15px 0;"">No fluff, no “just delegate more.” Real moves you can implement while still running client work.</p>
<p style=""margin: 0 0 15px 0;"">If you want help applying the sprint to your specific situation (team, offers, delivery, margins), book a quick call and we’ll map the fastest path to removing your #1 bottleneck.</p>
<p style=""margin: 0 0 15px 0;"">Book your call here: [Schedule Link]</p></div>",unknown,"not mapped",📄 Other,Filled
"Optin_Email_Body 2","Optin_Email_Body 2","<div style=""font-family: Arial, sans-serif; font-size: 16px; line-height: 1.6; color: #333333;""><p style=""margin: 0 0 15px 0;"">Hey {{contact.first_name}},</p>
<p style=""margin: 0 0 15px 0;"">If your day feels like this—Slack ping, client email, Loom review, “quick question,” proposal tweak, QA pass—then you’re probably acting as the human router.</p>
<p style=""margin: 0 0 15px 0;"">Everything routes through you because:<br><ul style=""margin: 10px 0; padding-left: 20px;""><br><li style=""margin: 5px 0;"">You’re the fastest</li><br><li style=""margin: 5px 0;"">You’re the safest</li><br><li style=""margin: 5px 0;"">You’re the one who “knows what good looks like”</li><br></ul></p>
<p style=""margin: 0 0 15px 0;"">That works at $10K/month. It breaks at $30K/month.</p>
<p style=""margin: 0 0 15px 0;"">Today’s tip is a tiny rule that removes a shocking number of interruptions:</p>
<p style=""margin: 0 0 15px 0;"">The 2-Question Intake Rule<br>Before anyone brings an issue to you, they must answer:</p>
<ol style=""margin: 10px 0; padding-left: 20px;"">
<li style=""margin: 5px 0;"">“What outcome are we trying to protect?”</li>
</ol>
(Example: client retention, margin, speed, quality, scope control)
<ol style=""margin: 10px 0; padding-left: 20px;"">
<li style=""margin: 5px 0;"">“What are the two best options, and what do you recommend?”</li>
</ol>
(They don’t need certainty. They need to think.)
<p style=""margin: 0 0 15px 0;"">Why this works:<br><ul style=""margin: 10px 0; padding-left: 20px;""><br><li style=""margin: 5px 0;"">It forces clarity (most interruptions are fuzzy)</li><br><li style=""margin: 5px 0;"">It trains your team to decide inside guardrails</li><br><li style=""margin: 5px 0;"">It turns you from firefighter into approver of tradeoffs</li><br></ul></p>
<p style=""margin: 0 0 15px 0;"">Example (real-world agency scenario):<br>A client asks for “one more round” of revisions.<br>Old way: your PM pings you, you jump in, you rewrite the email, you negotiate scope, you feel annoyed.<br>New way: the PM brings:<br><ul style=""margin: 10px 0; padding-left: 20px;""><br><li style=""margin: 5px 0;"">Outcome: protect scope + relationship</li><br><li style=""margin: 5px 0;"">Options:</li><br></ul><br>  A) approve one extra round, but push timeline + note it’s outside scope<br>  B) offer a paid add-on for additional rounds<br><ul style=""margin: 10px 0; padding-left: 20px;""><br><li style=""margin: 5px 0;"">Recommendation: Option A for this client (high LTV), with a clear boundary moving forward</li><br></ul></p>
<p style=""margin: 0 0 15px 0;"">Now you reply in 30 seconds: “Agree—Option A. Use this line: ‘Happy to do one additional round this time; any further revisions will be billed at X.’”</p>
<p style=""margin: 0 0 15px 0;"">Implementation (10 minutes):<br><ul style=""margin: 10px 0; padding-left: 20px;""><br><li style=""margin: 5px 0;"">Post the rule in Slack</li><br><li style=""margin: 5px 0;"">Add it to your PM’s SOP</li><br><li style=""margin: 5px 0;"">When someone pings without it, respond once: “Can you send the 2-question intake?”</li><br></ul></p>
<p style=""margin: 0 0 15px 0;"">If you want, bring your top 5 recurring interruptions to a call and we’ll convert them into rules, templates, and decision rights so you’re not the default path for everything.</p>
<p style=""margin: 0 0 15px 0;"">Book your call here: [Schedule Link]</p></div>",unknown,"not mapped",📄 Other,Filled
"Optin_Email_Body 3","Optin_Email_Body 3","<div style=""font-family: Arial, sans-serif; font-size: 16px; line-height: 1.6; color: #333333;""><p style=""margin: 0 0 15px 0;"">Hey {{contact.first_name}},</p>
<p style=""margin: 0 0 15px 0;"">If you’re still doing final QA on everything, here’s the uncomfortable truth: you’re not just protecting quality—you’re compensating for missing standards.</p>
<p style=""margin: 0 0 15px 0;"">When “done” is vague, work boomerangs:<br><ul style=""margin: 10px 0; padding-left: 20px;""><br><li style=""margin: 5px 0;"">Designer finishes… but copy isn’t aligned</li><br><li style=""margin: 5px 0;"">Media buyer launches… but tracking isn’t verified</li><br><li style=""margin: 5px 0;"">Dev pushes… but edge cases weren’t tested</li><br></ul></p>
<p style=""margin: 0 0 15px 0;"">So you step in. Again.</p>
<p style=""margin: 0 0 15px 0;"">Today’s tip: create a one-page Definition of Done (DoD) for your highest-volume deliverable.</p>
<p style=""margin: 0 0 15px 0;"">Not for the whole agency. Just ONE deliverable that happens every week.</p>
<p style=""margin: 0 0 15px 0;"">A strong DoD has 3 parts:</p>
<ol style=""margin: 10px 0; padding-left: 20px;"">
<li style=""margin: 5px 0;"">Inputs required (before work starts)</li>
</ol>
<ul style=""margin: 10px 0; padding-left: 20px;"">
<li style=""margin: 5px 0;"">Access, assets, approvals, constraints</li>
<li style=""margin: 5px 0;"">What happens if inputs are missing (pause / reschedule / paid rush)</li>
</ul>
<ol style=""margin: 10px 0; padding-left: 20px;"">
<li style=""margin: 5px 0;"">Quality checklist (before it’s “ready for review”)</li>
</ol>
<ul style=""margin: 10px 0; padding-left: 20px;"">
<li style=""margin: 5px 0;"">8–15 bullets max</li>
<li style=""margin: 5px 0;"">Objective checks, not taste</li>
</ul>
<ol style=""margin: 10px 0; padding-left: 20px;"">
<li style=""margin: 5px 0;"">Approval &amp; handoff rules</li>
</ol>
<ul style=""margin: 10px 0; padding-left: 20px;"">
<li style=""margin: 5px 0;"">Who reviews what</li>
<li style=""margin: 5px 0;"">Timebox for feedback</li>
<li style=""margin: 5px 0;"">What counts as a revision vs. new scope</li>
</ul>
<p style=""margin: 0 0 15px 0;"">Example (for a client landing page):<br>Inputs: offer doc + brand kit + 3 examples + tracking requirements<br>Quality: headline matches offer promise; CTA above fold; mobile spacing checked; form tested; analytics events firing; load time under X; legal footer present<br>Handoff: PM reviews checklist first; strategist reviews messaging only; founder reviews only if conversion goal changes</p>
<p style=""margin: 0 0 15px 0;"">The magic isn’t the checklist.<br>It’s the decision: “If it doesn’t meet the DoD, it’s not ready to touch my desk.”</p>
<p style=""margin: 0 0 15px 0;"">How to build it fast (30 minutes):<br><ul style=""margin: 10px 0; padding-left: 20px;""><br><li style=""margin: 5px 0;"">Pull the last 3 times you had to “fix” work</li><br><li style=""margin: 5px 0;"">Write each fix as a checklist item</li><br><li style=""margin: 5px 0;"">Add the top 3 preventable misses as required inputs</li><br></ul></p>
<p style=""margin: 0 0 15px 0;"">Within a week, you should notice:<br><ul style=""margin: 10px 0; padding-left: 20px;""><br><li style=""margin: 5px 0;"">Fewer pings</li><br><li style=""margin: 5px 0;"">Fewer “quick reviews”</li><br><li style=""margin: 5px 0;"">Less emotional load (because the standard is the standard)</li><br></ul></p>
<p style=""margin: 0 0 15px 0;"">If you want, on a call we can identify your #1 repeatable deliverable and build a DoD that fits your team’s current skill level—so quality stays high without you being the quality department.</p>
<p style=""margin: 0 0 15px 0;"">Book your call here: [Schedule Link]</p></div>",unknown,"not mapped",📄 Other,Filled
"Optin_Email_Body 4","Optin_Email_Body 4","<div style=""font-family: Arial, sans-serif; font-size: 16px; line-height: 1.6; color: #333333;""><p style=""margin: 0 0 15px 0;"">Hey {{contact.first_name}},</p>
<p style=""margin: 0 0 15px 0;"">A lot of agency owners think their problem is sales.</p>
<p style=""margin: 0 0 15px 0;"">But if you’re already at $15K–$50K/month and still feel underwater, the real issue is usually this:</p>
<p style=""margin: 0 0 15px 0;"">You’re selling on top of a delivery engine with no capacity floor.</p>
<p style=""margin: 0 0 15px 0;"">So every new project adds pressure, not profit.<br>And you end up paying for growth with your evenings, your health, and your attention.</p>
<p style=""margin: 0 0 15px 0;"">Today’s tip: set a Capacity Floor—a hard rule that keeps delivery stable while you scale.</p>
<p style=""margin: 0 0 15px 0;"">Capacity Floor = the minimum percentage of team bandwidth you keep unassigned each week.</p>
<p style=""margin: 0 0 15px 0;"">For most boutique service firms, start with 20%.<br>(If you’re currently in chaos, start with 30% for 2–3 weeks to recover.)</p>
<p style=""margin: 0 0 15px 0;"">What this does:<br><ul style=""margin: 10px 0; padding-left: 20px;""><br><li style=""margin: 5px 0;"">Creates room for revisions, client surprises, and internal ops</li><br><li style=""margin: 5px 0;"">Prevents “everything is urgent” culture</li><br><li style=""margin: 5px 0;"">Stops you from becoming the overflow resource</li><br></ul></p>
<p style=""margin: 0 0 15px 0;"">How to implement (simple version):</p>
<ol style=""margin: 10px 0; padding-left: 20px;"">
<li style=""margin: 5px 0;"">Pick your floor: 20%.</li>
</ol>
If your team has 100 total hours/week, only plan 80.
<ol style=""margin: 10px 0; padding-left: 20px;"">
<li style=""margin: 5px 0;"">Protect it with one rule:</li>
</ol>
“We don’t book new work until next week’s planned load is at or below 80%.”
<ol style=""margin: 10px 0; padding-left: 20px;"">
<li style=""margin: 5px 0;"">Add a release valve:</li>
</ol>
If sales closes and you’re above 80%, you must do ONE of these before kickoff:
<ul style=""margin: 10px 0; padding-left: 20px;"">
<li style=""margin: 5px 0;"">De-scope (reduce deliverables)</li>
<li style=""margin: 5px 0;"">Extend timeline</li>
<li style=""margin: 5px 0;"">Raise price (rush fee)</li>
<li style=""margin: 5px 0;"">Reassign (contractor/partner)</li>
</ul>
<p style=""margin: 0 0 15px 0;"">Example:<br>You close a $8K/month retainer. Great.<br>But delivery is already packed.<br>Without a floor, you absorb it personally.<br>With a floor, you say:<br>“We can start Monday with X deliverables, and the additional channel begins in week 3,” OR “To start everything immediately, it’s an additional $2K rush fee to add support.”</p>
<p style=""margin: 0 0 15px 0;"">This is how you scale without resenting your own business.</p>
<p style=""margin: 0 0 15px 0;"">If you want help setting a realistic capacity model (based on your actual deliverables, not wishful thinking), book a call. We’ll map your current load, identify the true bottleneck, and set rules that protect margin and sanity.</p>
<p style=""margin: 0 0 15px 0;"">Book your call here: [Schedule Link]</p></div>",unknown,"not mapped",📄 Other,Filled
"Optin_Email_Body 5","Optin_Email_Body 5","<div style=""font-family: Arial, sans-serif; font-size: 16px; line-height: 1.6; color: #333333;""><p style=""margin: 0 0 15px 0;"">Hey {{contact.first_name}},</p>
<p style=""margin: 0 0 15px 0;"">Here’s Tip #4 that almost always creates immediate relief for founder-led agencies:</p>
<p style=""margin: 0 0 15px 0;"">Stop being the “human router.”</p>
<p style=""margin: 0 0 15px 0;"">If every question, decision, and client update routes through you, your calendar will look “full” while the business still feels fragile. The team isn’t failing—you’ve accidentally trained the org that the fastest path is: ask you.</p>
<p style=""margin: 0 0 15px 0;"">The fix is a tiny operating rule I call the 3-Lane Decision System.</p>
<p style=""margin: 0 0 15px 0;"">Lane 1: Team-owned decisions (no permission needed)<br><ul style=""margin: 10px 0; padding-left: 20px;""><br><li style=""margin: 5px 0;"">Anything under a clear threshold (ex: refunds under $250, scope tweaks under 1 hour, swapping meeting times)</li><br><li style=""margin: 5px 0;"">Anything with a documented SOP</li><br><li style=""margin: 5px 0;"">Anything reversible</li><br></ul></p>
<p style=""margin: 0 0 15px 0;"">Lane 2: Notify-only decisions (they decide, you get a heads-up)<br><ul style=""margin: 10px 0; padding-left: 20px;""><br><li style=""margin: 5px 0;"">Client-facing changes that affect timeline</li><br><li style=""margin: 5px 0;"">Any deliverable with brand risk</li><br><li style=""margin: 5px 0;"">Anything that touches pricing but not margins</li><br></ul></p>
<p style=""margin: 0 0 15px 0;"">Lane 3: Escalate decisions (you decide)<br><ul style=""margin: 10px 0; padding-left: 20px;""><br><li style=""margin: 5px 0;"">Contract changes</li><br><li style=""margin: 5px 0;"">Anything that risks churn</li><br><li style=""margin: 5px 0;"">Anything that impacts margin materially</li><br></ul></p>
<p style=""margin: 0 0 15px 0;"">How to implement in 20 minutes:<br><ol style=""margin: 10px 0; padding-left: 20px;""><br><li style=""margin: 5px 0;"">Pick ONE recurring area that’s draining you (client comms, QA, scope, scheduling).</li><br><li style=""margin: 5px 0;"">Write the lane rules in a single Slack message.</li><br><li style=""margin: 5px 0;"">Pin it. Then enforce it for 7 days.</li><br></ol></p>
<p style=""margin: 0 0 15px 0;"">The key is enforcement.<br>If someone asks a Lane 1 question, respond with: “Lane 1—run it and post what you did.”</p>
<p style=""margin: 0 0 15px 0;"">You’ll feel the discomfort for a day or two… and then you’ll notice something wild: your team gets sharper, faster, and more confident. And you stop carrying the whole business in your head.</p>
<p style=""margin: 0 0 15px 0;"">If you want, bring your messiest “human router” area to a call. In 20 minutes we can:<br><ul style=""margin: 10px 0; padding-left: 20px;""><br><li style=""margin: 5px 0;"">define the lanes</li><br><li style=""margin: 5px 0;"">set thresholds that match your risk tolerance</li><br><li style=""margin: 5px 0;"">decide what needs an SOP vs. what needs a decision rule</li><br></ul></p>
<p style=""margin: 0 0 15px 0;"">Book your call here: [Schedule Link]</p></div>",unknown,"not mapped",📄 Other,Filled
